Arist(s) Name,Track Name,Album Name,Length,SpotifyID,ISRC
Maluma; Chencho Corleone , Nos Comemos Vivos , The Love & Sex Tape , 00:03:45 , 0bI5WRiDfU5BY38ufOJtGu , USSD12200205
KAROL G , EL BARCO , KG0516 , 00:03:23 , 0MT6qJd7wKlWjH7tP7oWHi , USUM72023902
Mau y Ricky; Carin Leon , Llorar y Llorar - con Carin Leon , Llorar y Llorar (con Carin Leon) , 00:02:49 , 4YF13O2n16dcTyGgVmiGvN , USSD12200413
Jordy Jill; Call me Juana , Vienes y Vas , Vienes y Vas , 00:03:13 , 00TSDkTcqSLMK7XCflwkLB , ESA012240433
Gusttavo Lima , Não Pega Ninguém Ainda (Ao Vivo) , Não Pega Ninguém Ainda (Ao Vivo) , 00:02:55 , 2LEV3lTRxKqLBfmt5BWkLj , BXBAL2200011
Feid , Ferxxo 100 , Ferxxo 100 , 00:02:47 , 6ipzb1kHhWIxp1tS0vwqPl , USUM72209716
Ryan Castro , Q´Hubo Bebé , Q´Hubo Bebé , 00:03:00 , 2TPWn36SvcFXT2lEfEvm0p , COSO12200088
SEKAI NO OWARI , Habit , Habit , 00:04:13 , 2uMNMcjjUz8oNIxjIu20qE , JPPO02201022
Wisin & Yandel; Sech; Jhay Cortez , Llueve , Llueve , 00:04:09 , 5yDAnr9USNQTP6ojiWBCvv , USSD12100784
Beéle; Myke Towers; Feid , Barranquilla Bajo Cero , Barranquilla Bajo Cero , 00:04:06 , 02mhtclidb7Jpf1gwEasJh , QZ7B82200025
Dimelo Siru; Yeziell Yeziell; Jay Wheeler , LA QUE ME HIZO LLORAR , LA QUE ME HIZO LLORAR , 00:03:20 , 7yyUsqAbI09cq7K7uqgyAU , USUYG1428816
Manuel Turizo , La Bachata , La Bachata , 00:02:42 , 5ww2BF9slyYgNOk37BlC4u , QZDYA1800087
Dímelo Flow; Wisin; Ozuna; Arcangel; Lenny Tavárez; Jay Wheeler , Crazy , Crazy , 00:04:03 , 2DWaaGqHqQYgAt4QTyPQWs , QM9WM2100110
Becky G , BAILÉ CON MI EX , BAILÉ CON MI EX , 00:02:41 , 0Yc0ziTsyjahYqlWXVXlTU , USRC12201451
Chris Jedi; Anuel AA; Chencho Corleone; Ñengo Flow , La Llevo Al Cielo (Ft. Ñengo Flow) , La Llevo Al Cielo (Ft. Ñengo Flow) , 00:04:14 , 6DoL1yYIwEW7VZMRaJhoJI , USUM72201829
Sech , Noche de Teteo , Noche de Teteo , 00:03:22 , 5YBvKoQDMAd7IjonxPQYFN , QM9WM2200004
Cody・Lee(李) , 我愛你 , 生活のニュース , 00:04:56 , 7jXoUqjqJVQGHDBs9ZGy08 , JPP302000642
Feid , Castigo , Castigo , 00:02:58 , 7INDea2qgB7TlUgpux3hsg , USUM72207165
Gotay "El Autentiko" , Beneficio , Beneficio , 00:03:38 , 31cYnAvgoVn1gUpdkpVPZl , QM4TX2242993
Said P.; Reykon , Soñé Contigo , Soñé Contigo , 00:02:38 , 3TqRlg6yVni12jgORANsV4 , QZNWQ2115502
Jan Blakeee; Brytiago; Gønza , Esquinita , Esquinita , 00:03:51 , 0pMyuVOnOe9MpZ2Un58v0p , QZHZ52204660
Lunay , Bandida , Bandida , 00:02:54 , 1p5vF77FRuvyEQfAH5mNMP , USA2P2222996
Alex Rose; Wisin & Yandel , Sentido , Sentido , 00:04:07 , 5omDX9Ne3KCDCSOMFJJkpB , QM4TX2237913
Andy Rivera; Ñejo; Ryan Castro , Monumento - Remix , Monumento (Remix) , 00:03:28 , 1bUTLkxM3nMUngIGP0M8ws , COSO12200085
Chris Lebron; Sech; Jay Wheeler , Desde Mis Ojos - Remix , Desde Mis Ojos (Remix) , 00:03:43 , 0hzC5kZ6qKZJ9ybyW75VV8 , QM4TX2289725
Silvestre Dangond; MONÁCO , No Tenemos La Culpa , No Tenemos La Culpa , 00:02:52 , 70gwSrZmNuuIPLIioB5aaW , USSD12200290
J. Caesar , Seaport City , Seaport City , 00:04:57 , 2qpDt58ueb4gjU73yeIpMy , uscgj0587524
Rombai , Vamo A Tomar Una , Vamo A Tomar Una , 00:02:09 , 3sfGiBLYZMgepk2kaS8Zyx , SE6I32252802
Amesty; Ovy On The Drums , Química , Química , 00:03:08 , 3CdjtlJBzF28QVFh16jRSB , USUM72200594
Javiielo; Nekxum , Mi Casi Algo , Mi Casi Algo , 00:03:00 , 0JpuxOdaEbiiPQyH1UmW4H , USLZJ2257143
Bad Bunny , Moscow Mule , Un Verano Sin Ti , 00:04:05 , 6Xom58OOXk2SoU711L2IXO , QM6MZ2214875
Bad Bunny , Después de la Playa , Un Verano Sin Ti , 00:03:50 , 1dm6z1fWB0cErMszU25dy2 , QM6MZ2214876
Bad Bunny; Chencho Corleone , Me Porto Bonito , Un Verano Sin Ti , 00:02:58 , 6Sq7ltF9Qa7SNFBsV5Cogx , QM6MZ2214877
Bad Bunny , Tití Me Preguntó , Un Verano Sin Ti , 00:04:03 , 1IHWl5LamUGEuP4ozKQSXZ , QM6MZ2214878
Bad Bunny , Un Ratito , Un Verano Sin Ti , 00:02:56 , 5CzixCxDkRXX9mScCmah8O , QM6MZ2214879
Bad Bunny , Yo No Soy Celoso , Un Verano Sin Ti , 00:03:50 , 5kVZxyMY1gfdCLiChsfjn1 , QM6MZ2214880
Bad Bunny; Jhay Cortez , Tarot , Un Verano Sin Ti , 00:03:57 , 41oY4WCTj5kccfesTVFnvN , QM6MZ2214881
Bad Bunny , Neverita , Un Verano Sin Ti , 00:02:53 , 31i56LZnwE6uSu3exoHjtB , QM6MZ2214882
Bad Bunny; Tony Dize , La Corriente , Un Verano Sin Ti , 00:03:18 , 1797zYiX4cKosMH836X9Gt , QM6MZ2214883
Bad Bunny , Efecto , Un Verano Sin Ti , 00:03:33 , 5Eax0qFko2dh7Rl2lYs3bx , QM6MZ2214884
Bad Bunny; Rauw Alejandro , Party , Un Verano Sin Ti , 00:03:47 , 4tYFy8ALRjIZvnvSLw5lxN , QM6MZ2214885
Bad Bunny , Aguacero , Un Verano Sin Ti , 00:03:30 , 2uflssWlCaJ6CbTMOsUpNI , QM6MZ2214886
Bad Bunny , Enséñame a Bailar , Un Verano Sin Ti , 00:02:56 , 2NMjggapJcXXM7WccGEBUO , QM6MZ2214887
Bad Bunny; Bomba Estéreo , Ojitos Lindos , Un Verano Sin Ti , 00:04:18 , 3k3NWokhRRkEPhCzPmV8TW , QM6MZ2214888
Bad Bunny , Dos Mil 16 , Un Verano Sin Ti , 00:03:28 , 4d4ZXH4dr5bYfgErHiZCX2 , QM6MZ2214889
Bad Bunny , El Apagón , Un Verano Sin Ti , 00:03:21 , 0UvZcEfpzVyx47QsRbjyBz , QM6MZ2214890
Bad Bunny; The Marías , Otro Atardecer , Un Verano Sin Ti , 00:04:04 , 0E0DRHf5PfMeor0ZCwB3oT , QM6MZ2214891
Bad Bunny , Un Coco , Un Verano Sin Ti , 00:03:16 , 6VrQTLzzuyGIYjUDe4kAZk , QM6MZ2214892
Bad Bunny; Buscabulla , Andrea , Un Verano Sin Ti , 00:05:39 , 44XjoNvtwevktFKjvVe1vH , QM6MZ2214893
Bad Bunny , Me Fui de Vacaciones , Un Verano Sin Ti , 00:03:00 , 28GCbKgjlVD9eDmasGbe0T , QM6MZ2214894
Bad Bunny , Un Verano Sin Ti , Un Verano Sin Ti , 00:02:28 , 18HOjcvTVV7W8YzBuOsAPS , QM6MZ2214895
Bad Bunny , Agosto , Un Verano Sin Ti , 00:02:19 , 0wihfILRNOwE2156Shezc8 , QM6MZ2214896
Bad Bunny; Tainy , Callaita , Un Verano Sin Ti , 00:04:10 , 71wFwRo8xGc4lrcyKwsvba , QM6N21919851
Reykon , Bandidos , Bandidos , 00:02:57 , 1dZkAYdCvUA4u5cMzGhRJh , QZHZ42249704
Wisin & Yandel , Algo Me Gusta De Ti , Líderes , 00:04:35 , 3nDNXKBb5fRTuQXpeowWTT , USUM71206379
Wisin & Yandel; Chris Brown; T-Pain , Algo Me Gusta De Ti , Líderes , 00:04:34 , 2FqoR7diymD1Eh7cVb3DMg , USUM71206369
vf7; Lenny Tavárez; Beéle; Rauw Alejandro , Extrañandote - Remix , Extrañandote (Remix) , 00:04:35 , 0sNRkMXnwgJgGWEb1ntpHj , QMDA62190226
Chippy Bits , Littleroot Town (From "Pokemon Ruby") , Pokemon Ruby Chiptunes , 00:03:30 , 4box0AymO0i3MUZ81ff723 , QZGWW2058324
Alex Rose , Melodrama , Melodrama , 00:03:05 , 4ffdk7DakcW71stgcXT1wA , QM4TW2215154
Jhay Cortez , Sensual Bebé , Sensual Bebé , 00:03:29 , 1xqbfjRuUw0ot43wgBuVkt , USUM72203276
Gonzy , Uno Pal Otro , Uno Pal Otro , 00:03:37 , 60iAEGo1UgPdxSfHEFe66w , QZHN32200807
Eix; Dalex; Juhn , Tour - Remix , Tour (Remix) , 00:03:54 , 6JeMXzPkqDe2gYnO0SlZSd , QZHN22200001
Zion & Lennox; Revol , Tus Labios , Tus Labios , 00:03:38 , 0EI0p6kX1Ds9bnSnEuUVb6 , QM4TX2210046
T-Pain , I'm Sprung , Rappa Ternt Sanga (Expanded Edition) , 00:03:51 , 0DLOyyQvwPTSDKuhpzMMwA , USJI10500485
ROSALÍA , BIZCOCHITO , MOTOMAMI , 00:01:49 , 4kXxEhuatrvwrTQycA7s9B , USSM12109223
