Arist(s) Name,Track Name,Album Name,Length,SpotifyID,ISRC
Maluma; The Weeknd , Hawái - Remix , Hawái (Remix) , 00:03:20 , 0GzuHFG4Ql6DoyxFRnIk3F , USSD12000526
Feid; Sky Rompiendo , CHIMBITA , CHIMBITA , 00:02:36 , 5xwjEzvJ2OSdnHlzusKNYA , USUM72022683
Danny Ocean , Pronto , Pronto , 00:03:48 , 76v3J11Zq0HwkJqQLyw7sJ , USWL12000488
Brytiago; Jay Wheeler , Desnudarte , Desnudarte , 00:04:22 , 15zGj634ctKvXflVumO5Qq , QMFME2058083
Zion & Lennox; Myke Towers , No Me Llama , No Me Llama , 00:03:11 , 4YqeXl57vJDYuEdcOL1vRD , USWL12000497
Piso 21; Maluma , Más De La Una , Más De La Una , 00:03:56 , 69Y5IZuBvGyzySFt5x7kCq , MXF152000572
BTS , Dynamite , BE , 00:03:19 , 4saklk6nie3yiGePpBwUoc , QM7282022872
Bad Bunny , EL MUNDO ES MÍO , EL ÚLTIMO TOUR DEL MUNDO , 00:02:45 , 36DHxTW2xdr9GG15T9oK9L , QMFME2066836
Bad Bunny , HOY COBRÉ , EL ÚLTIMO TOUR DEL MUNDO , 00:02:42 , 0tjZv2hChdHZCW1zFXpy1J , QMFME2066838
Bad Bunny , MALDITA POBREZA , EL ÚLTIMO TOUR DEL MUNDO , 00:03:33 , 0Lsis3LB0XAK6XlTHXaJk2 , QMFME2066839
Bad Bunny , TE DESEO LO MEJOR , EL ÚLTIMO TOUR DEL MUNDO , 00:02:19 , 23XjN1s3DZC8Q9ZwuorYY4 , QMFME2066841
Bad Bunny , YO VISTO ASÍ , EL ÚLTIMO TOUR DEL MUNDO , 00:03:11 , 5fROvzNghPid8mbKNDYvpJ , QMFME2066842
Bad Bunny , BOOKER T , EL ÚLTIMO TOUR DEL MUNDO , 00:02:36 , 26w9NTiE9NGjW1ZvIOd1So , QMFME2066844
Bad Bunny , LA DROGA , EL ÚLTIMO TOUR DEL MUNDO , 00:02:42 , 67ACYA3UI6QMNtHX6b34wX , QMFME2066845
Bad Bunny; Jhay Cortez , DÁKITI , EL ÚLTIMO TOUR DEL MUNDO , 00:03:25 , 4MzXwWMhyBbmu6hOcLVD49 , QMFME2004132
Bad Bunny , TRELLAS , EL ÚLTIMO TOUR DEL MUNDO , 00:02:37 , 09WAnxdBuebQopKhJT3oZS , QMFME2066846
Bad Bunny , 120 , EL ÚLTIMO TOUR DEL MUNDO , 00:02:31 , 3KJ3opyV29269SXkPrc19l , QMFME2066848
Ovy On The Drums; Danny Ocean; KAROL G , Miedito o Qué? (feat. KAROL G) , Miedito o Qué? (feat. KAROL G) , 00:03:29 , 7MoZgM6AsQaZw14WnKopuy , USWL12000485
Bad Bunny; ABRA , SORRY PAPI , EL ÚLTIMO TOUR DEL MUNDO , 00:02:43 , 5jZ32WOU7sqzDYbzINwMUk , QMFME2066847
Rauw Alejandro; J Balvin , De Cora <3 , Afrodisíaco , 00:03:10 , 22Sh5dlwbERqJAq1fZk5b2 , USSD12000495
Andy Rivera , Para Qué Regresas , Para Qué Regresas , 00:02:28 , 29R2zvgyIWqAerVBq1JWsl , COSO12000244
Justin Quiles , Ponte Pa' Mi , Ponte Pa' Mi , 00:03:22 , 4C6BlqqMwjFzOXzqpTeoWR , USWL12000479
Tezzel; Feid , Quatro , Quatro , 00:03:02 , 4CjKHZ4LxaE1UOyLl9CUEU , USUM72021427
Milly; Farruko; Nio Garcia; Jay Wheeler; Amenazzy , No Te Enamores - Remix , No Te Enamores (Remix) , 00:04:49 , 2mM3gZ0BbPwPPMelbA8vgt , QZL432000087
Nicky Jam; Myke Towers , Polvo , Polvo , 00:03:31 , 68mrW6gXHgupgSiDHgaDi5 , USSD12000502
Juice WRLD; Marshmello , Come & Go (with Marshmello) , Legends Never Die , 00:03:25 , 2Y0wPrPQBrGhoLn14xRYCG , USUG12001904
Billie Eilish , bad guy , WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? , 00:03:14 , 2Fxmhks0bxGSBdJ92vM42m , USUM71900764
Cauty; Brytiago; Juanka , ES TEMPRANO , CAUTYVERIO "MIXTAPE" , 00:03:49 , 6XA9bSJelACunynif240az , USUM72019913
KHEA; Natti Natasha; Prince Royce; Lenny Santos , Ayer Me Llamó Mi Ex – Remix , Ayer Me Llamó Mi Ex – Remix , 00:04:16 , 59nnGpAU3AiL2tD0o2It11 , USLD91729420
Bad Bunny; Jhay Cortez , DÁKITI , DÁKITI , 00:03:25 , 47EiUVwUp4C9fGccaPuUCS , QMFME2004132
Arcangel; Jhay Cortez; Darell , Normal , Los Favoritos 2 , 00:03:50 , 7B7NxUQL8uX7l8WRzmcUFB , QMBZ92024030
Farruko; Sech; Myke Towers; Jay Wheeler; Tempo , La Tóxica (feat. Jay Wheeler & Tempo) - Remix , La Tóxica (feat. Jay Wheeler & Tempo) [Remix] , 00:04:54 , 4gChz67rTHfVzKCZAHsifM , USSD12000490
Lenny Tavárez; Beéle , La Mujer Traiciona , La Mujer Traiciona , 00:02:51 , 2YpupWlGIpbkra73hHc8KW , USWL12000292
Alcover; Bryant Myers; Adriel Favela , Ya lo verás - Reggaeton Version , Ya lo verás (Deluxe Edition) , 00:02:50 , 207S1GEoeZFXcOOjdDumCz , USLZJ2051761
Mora; Jhay Cortez , Pegate - Remix , Pegate (Remix) , 00:03:24 , 7C2RvtNZvxPdol2JXAdxVK , QMBZ92071657
Hozwal; Jay Wheeler , Cual de los Dos , Cual de los Dos , 00:03:46 , 17TDsPDkivq0C7fgI3Cnwc , QMBZ92071819
Rich Music LTD; Dalex; Justin Quiles; Darell; Dímelo Flow , Te Necesito , Te Necesito , 00:02:43 , 1qym5o53zYbVzQfi8Z64eO , QM9WM2000055
Arcangel; Myke Towers , Satisfacción , Los Favoritos 2 , 00:03:04 , 4oO8HV1rGgXIGklt8HYjJR , QMBZ92024028
Emilia; Alex Rose , Bendición , Bendición , 00:03:05 , 54LxLkCDvShuYKRtTUQ2G4 , USSD12000416
Mozart La Para; Zion; Lennox , Ella Lo Olvidó , Ella Lo Olvidó ft. Zion, Lennox , 00:03:37 , 3NnBBxeCr7MyTwqOZhIZBc , QMJMT2003338
Maffio; Dalex , Lo Noto , Lo Noto , 00:02:38 , 6uRnzAYlbd4VKbY2j4X0T4 , USSD12000394
Juanka; Jay Wheeler , Tus Besos - Remix , Tus Besos (Remix) , 00:03:49 , 4SieMb6AQmQgbjv9TfC5Qm , USUM72018811
Javiielo; Brytiago; KHEA; Omy de Oro; Nekxum , Pa Los Gustos Los Colores - Remix , Pa Los Gustos Los Colores (Remix) , 00:05:18 , 0VPN27Nd8gQPe3tT16nsyG , USLZJ2040763
Rafa Pabön; Zion; Brray; Randy; Toño Rosario; Jon Z; Kiko el Crazy , A Güiro - Remix , A Güiro (Remix) , 00:05:43 , 2Nr4JG8m3Yn0ZIiDDkMlGT , QMBZ92050869
Joey Montana; Greeicy; Cali Y El Dandee , Desesperado (Voy A Tomar) , Desesperado (Voy A Tomar) , 00:04:13 , 4tvtsvgrIksr7iqzPeADXB , USUM72018460
Manuel Turizo; Rauw Alejandro; Myke Towers , La Nota , La Nota , 00:03:36 , 7ndTONDDRFGiPnnhOzOXxq , QZDYA1800024
Abraham Mateo; Becky G , Tiempo Pa Olvidar , Sigo a Lo Mío , 00:03:19 , 4ZxEsofSa0izhDkNW56LSK , ES5022000218
Abraham Mateo; Manuel Turizo , No Encuentro Palabras , Sigo a Lo Mío , 00:03:13 , 15kHguIx34aMLWxVQgap63 , ES5022000060
Llane; Manuel Turizo , Será , Será , 00:03:02 , 2DElz2QWtR8ME3VTXsOlWN , MXF152000450
Gary Barlow; Michael Bublé; Sebastian Yatra , Elita (feat. Michael Bublé & Sebastián Yatra) , Elita (feat. Michael Bublé & Sebastián Yatra) , 00:03:30 , 2HzWLayXg9UUvZ8LOTlsxI , GBUM72003570
Arcangel; Sech , Amantes y Amigos , Amantes y Amigos , 00:03:02 , 1UHcnP31sAKOJFrEnyRNUz , QM7282021207
Kip Moore , Last Shot , SLOWHEART , 00:03:48 , 6viHvc13l9A6Ua6xugpeX6 , USUM71707509
Ozuna; Jhay Cortez , No La Mires , Enoc , 00:03:31 , 4CZtyjaSq1RilbT2b5oQrs , USXDR2000578
Ozuna; Camilo , Despeinada , Enoc , 00:03:44 , 0JAZWvvqttGFm4UMDsPQXC , USXDR2000590
The Dandy Warhols , We Used To Be Friends , Veronica Mars (Original Television Soundtrack) , 00:03:19 , 52JtGqYZ7EoYIApnwyb6cn , USCA20300003
The Dandy Warhols , We Used To Be Friends , Welcome To The Monkey House , 00:03:19 , 7hpFYWL3cw5m4y70cce7Zb , USCA20300003
Feid; Miky Woodz; Juhn , enemigos , BAHÍA DUCATI , 00:03:37 , 05BpaUYj7dL1vsE2oNsTzV , USUM72015940
Feid; Zion & Lennox , FOTOGRAFÍAS , BAHÍA DUCATI , 00:03:24 , 1q8oUVzv2NPMpeQbSAiUvH , USUM72015981
Feid; Sech , JAMAICA , BAHÍA DUCATI , 00:03:44 , 3mEuWQDngXevBTZLf48XDx , USUM72016620
Feid; De La Ghetto , BREAK UP , BAHÍA DUCATI , 00:03:21 , 4xpkpFN38ZUGTNH4majHuu , USUM72015985
Feid , que putas , BAHÍA DUCATI , 00:02:33 , 4fcC14xEEHEYS4SClHRzOr , USUM72015984
Feid; Ñejo , FERXXO X ÑEJO , BAHÍA DUCATI , 00:03:35 , 6qXKkWIJlEYgWOvvnaHVms , USUM72016108
Feid , NEA , BAHÍA DUCATI , 00:01:50 , 2S6z7NH6jUhPlq0pBQNLuV , USUM72015982
Feid; J Balvin; Maluma; Nicky Jam; Sech; Justin Quiles , PORFA - Remix , BAHÍA DUCATI , 00:05:33 , 0O6y19p9Mj6hcwD5cOQaMI , USUM72012767
Wisin; Myke Towers; Los Legendarios , Mi Niña , Mi Niña , 00:03:33 , 2bgcUk2A3jjKbCJ7KPquTi , QMBZ92014731
Lunay; Beéle , Victoria , Victoria , 00:03:43 , 2BxzmBb2uqwnpyVuJqIIV9 , USA2P2033476
Dalex; Arcangel; Manuel Turizo; De La Ghetto; Beéle , +Linda - Remix , +Linda (Remix) , 00:03:57 , 3fjGgq6FEwGcIZfWx9W6ez , QM9WM2000050
Manuel Turizo; Miky Woodz; Jay Wheeler , Quiereme Mientras se Pueda - Remix , Quiereme Mientras se Pueda (Remix) , 00:03:45 , 3F7qB0cVZ4msKvy4jbvLRx , QZDYA1800026
Haze; Jhay Cortez; Lunay , Prendemos , Prendemos , 00:03:37 , 3YLbntjcsRoButdoVta3rq , USDXS2012659
Buckwheat Zydeco , My Feet Can't Fail Me Now , Waitin' For My Ya Ya , 00:03:10 , 1b0gIH59aGI0AX2BP5SrdZ , USRO28805101
Vengaboys , Boom, Boom, Boom, Boom!! , Boom, Boom, Boom, Boom!! , 00:03:22 , 2Ld2LehpgQNREMxl9LlIzm , NLC529811150
Carlos Arroyo; Zion & Lennox , Baila Reggaeton , Baila Reggaeton , 00:03:10 , 3fn3UMjPf2nO68rZq2F4Tr , QM4TW2074270
Jd Music,Beéle,José Cury,Vallejo , Tu Boca , Tu Boca , 00:03:29 , 6K9GfrPj2Ig8lLqvKlCbD7 , ESA011991154
Ozuna , Sincero , Enoc , 00:03:15 , 4UEd4q4IHbj12G58IPNZJz , USXDR2000577
Chesca; Arcangel , Cara de Buena , Cara de Buena , 00:03:30 , 25lw03sQVH2z06sxyivumV , QZJDW2000070
Lyanno; Rauw Alejandro; Lenny Tavárez; Maria Becerra , En Tu Cuerpo - Remix , En Tu Cuerpo (Remix) , 00:05:10 , 3dEtfTtCXWW7N8WQ9FD29z , QM7282047514
Childish Gambino , Sober , Kauai , 00:04:12 , 5NhlpQ6BOIz3S5welptk1W , USYAH1400038
Childish Gambino , Feels Like Summer , Summer Pack , 00:04:57 , 7p4vHnYXkxlzvfePJVpcTr , USRC11802773
Childish Gambino , Freaks And Geeks , EP (2011 Re-Release) , 00:03:37 , 7xTY3rJMgj0nh6OOPHgsLw , USYAH1100388
Rauw Alejandro; Dalex; Lenny Tavárez; Farruko; Anuel AA; Sech; Dímelo Flow; Justin Quiles , Elegí (feat. Farruko, Anuel AA, Sech, Dímelo Flow & Justin Quiles) - Remix , Elegí (feat. Farruko, Anuel AA, Sech, Dímelo Flow & Justin Quiles) [Remix] , 00:05:25 , 3oCghu20Kto5Xcu8Pg0cit , USSD12000392
Urba y Rome; Lyanno; Alex Rose , Público , Público , 00:03:25 , 1PzvsHLUbLRsXuKTDvgJPW , QM7282059089
Bad Bunny; Mora , Una Vez , YHLQMDLG , 00:03:52 , 5J7teKIJGtqVypgYI6sqXj , QM4TX2030960
Jonna Torres; Chris Wandell , Malèfica , Malèfica , 00:03:28 , 49OcCN76sSS719UkDzT2IB , GBKPL2016936
Ozuna; KAROL G; Myke Towers , Caramelo - Remix , Caramelo (Remix) , 00:03:53 , 2uu2aGqA2UblCg581Q7l1g , USXDR2000585
Sebastian Yatra; Alvaro Diaz , A Dónde Van , A Dónde Van , 00:02:56 , 6uo9cHjtDSQcfKNaUYHAWZ , USUM72014541
Brytiago; Dalex; Lenny Tavárez , Te Falle - Remix , Orgánico , 00:04:34 , 2OsSIT3HBB2oduXSP61lsu , QZHN22000043
Eiffel 65; Gabry Ponte , Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio , Europop , 00:04:43 , 2yAVzRiEQooPEJ9SYx11L3 , ITT019810102
Bad Bunny; Don Omar , PA' ROMPERLA , LAS QUE NO IBAN A SALIR , 00:03:14 , 5XqCz18k96K8tx6DAYM97i , QM6N22010809
Feid; Dalmata , XX - Remix , XX (Remix) , 00:03:15 , 7cdKWpkc5XkGchiJshcrdw , USUM72015961
Miky Woodz; Wisin; Manuel Turizo; Justin Quiles; Lenny Tavárez , Provócame - Remix , Provócame (Remix) , 00:04:11 , 4RdtVn0XGoKUAtrgtSmild , QM7282026498
Justin Quiles , Jeans , Jeans , 00:03:05 , 3GtnId3Cm1Xa6joCj08nzW , USWL12000290
Cali Y El Dandee; Danna Paola , Nada , Nada , 00:02:54 , 4K8cyoCDovlc4FvtUr2Hfx , USUM72015118
Cauty; Alexis y Fido , MERA MA , MERA MA , 00:03:30 , 2UxZIVBlrbiIbvE5zyxC5E , USUM72014074
Urba y Rome; Eladio Carrion; Jory Boy , Se Emociona , Se Emociona , 00:03:46 , 4IEAidB277gAlxvidmeiXc , QM6P42068391
J Balvin; Dua Lipa; Bad Bunny; Tainy , UN DIA (ONE DAY) (Feat. Tainy) , UN DIA (ONE DAY) (Feat. Tainy) , 00:03:52 , 0EhpEsp4L0oRGM0vmeaN5e , QZM5U2000001
Brytiago; Ozuna; Lunay , Quizás , Orgánico , 00:03:40 , 7xiZayz1eFWnzLPztL80VQ , QZHN22000088
Nio Garcia; Casper Magico; Rochy RD , Te Gua , Now Or Never , 00:03:31 , 43YQ4hX0EazElMiYc7MKSt , QM6P42089293
Mike Bahía; Llane; Pj Sin Suela; Mozart La Para , Cuenta Conmigo (feat. Mozart La Para) , Cuenta Conmigo (feat. Mozart La Para) , 00:03:22 , 3KvK89jd2onVdthF4hZNN4 , MXF152000322
Pasabordo , Lentamente , Lentamente , 00:03:34 , 7mNBhmwwfFvkLnHzWktXg5 , USUM72011594
Nio Garcia; Casper Magico; Arcangel; De La Ghetto , No Se Te Dió , Now Or Never , 00:04:18 , 3EHOIENLKLgQYiwB3tKLky , QM6P42089165
ICON; Feid; Lyanno , Mente Daña , Mente Daña , 00:03:03 , 2JrzG3ZKfeZX7TJGuMaWd8 , COSO12000173
Farruko , La Tóxica , La Tóxica , 00:03:00 , 15OjBeqNX3bShsGYQbteRv , USSD12000175
Lunay , Relaciones , Relaciones , 00:03:26 , 2TL9UACmry1qTiurBc2PjV , USA2P2025743
Valentino; Rauw Alejandro; Darell , Hola , Hola , 00:03:49 , 6doqf1ew9CXLa1omRKvvjj , USWL12000249
Gotay "El Autentiko"; Ozuna; Wisin , Más De Ti , Más De Ti , 00:04:17 , 6qupqtadthQ2OtL376blXp , USUM72010388
Brytiago; Darell , Olvidando , Olvidando , 00:03:49 , 11b39rF8WVddnL1iKN4dbV , QZHN22000050
Javiielo; Jay Wheeler; Nekxum , Cenicero , Cenicero , 00:03:27 , 4JznxNAtycdgvzd4kv343C , USA2P2021829
Jhay Cortez , Dime A Ve , Dime A Ve , 00:03:33 , 0HMTIZ3iQ6QNjBaD9IE7ZZ , USUM72012834
Jiggy Drama; Lalo Ebratt; Yera , Replay , Replay , 00:03:32 , 6ZJx3J33obkpQ3mP6q7ZKm , QMXV71100303
Feid; J Balvin; Maluma; Nicky Jam; Sech; Justin Quiles , PORFA - Remix , PORFA (Remix) , 00:05:33 , 4iKznA0Zia7dNQxZ6574uC , USUM72012767
Eix; Rauw Alejandro; Noriel; KEVVO; Brytiago; Jay Wheeler , Infiel - Remix , Infiel (Remix) , 00:04:57 , 5Xe78U9cUwnWOuWbgYvAKZ , QZHN22000045
Alex Rose; Rauw Alejandro; Lenny Tavárez; Cazzu; Lyanno , Toda Remix - Remix , Toda Remix , 00:06:07 , 47ZS1OjnJpJVfGN9yHXfMn , QM4TX1838235
Lenny Tavárez; Rafa Pabön; Cauty , Acerola , Acerola , 00:03:03 , 2uUwscNV5ineK3ZbNPOIJM , USWL12000132
Micro TDH; Rels B; Lenny Tavárez; Justin Quiles , Dime Cuantas Veces (Remix) [feat. Justin Quiles] , Dime Cuantas Veces (Remix) [feat. Justin Quiles] , 00:03:27 , 4MWb6mltydQn84NrTm7Gpl , USWL12000216
Green Cookie; Pusho; Ñengo Flow; Casper Magico; Hozwal , Mala Como Bala - Remix , Mala Como Bala (Remix) , 00:04:31 , 6qZ1r5SXimm3k7JTbciIDf , QM6N22093911
Black Eyed Peas; Maluma , FEEL THE BEAT , TRANSLATION , 00:03:57 , 0pGC7cwCOakpvCFYiawNhM , USSM12001887
Pasabordo , Marte , Marte , 00:02:59 , 768KOyIyAWo4oerhwepq1g , ESA012064659
Lalo Ebratt; Manuel Turizo , La Presión , La Presión , 00:02:44 , 0LXk0yWcGfACtMKX0igobq , ES5702001461
Brytiago; Rauw Alejandro , Cositas , Cositas , 00:03:10 , 28MQqYBRGytyNKE263ASRM , QZHN22000069
Jay Wheeler; DJ Nelson; Dalex , Esa Nota , Platonicos , 00:03:22 , 6lq4xnerNWXUQkl7Pd9iXW , USUYG1313830
Jay Wheeler; DJ Nelson; Casper Magico , Nada Serio , Platonicos , 00:03:39 , 7ujRjXQJKOek0wXXEh6ZYF , USUYG1313829
Lyanno; Piso 21; Jerry Di , Luna Llena , Luna Llena , 00:03:33 , 44KevWH9a6C26eaFPwgCL4 , QM4TX2018482
Jay Wheeler; DJ Nelson; Feid , Cuando Fue , Platonicos , 00:03:04 , 748TYQSNoIN4p7W8damq2u , USUYG1316576
Jay Wheeler; DJ Nelson; Myke Towers , La Curiosidad , Platonicos , 00:03:39 , 4HYDUMY0xSpeBr0AMY9cUz , USUYG1313832
Jay Wheeler; DJ Nelson; Miky Woodz , Mala Mía , Platonicos , 00:04:03 , 4gu6Akv9Q755ArkE1Vq4rG , USUYG1313831
Dylan Fuentes; Tainy; Mau y Ricky , MENTE (with Tainy & Mau y Ricky) , MENTE (with Tainy & Mau y Ricky) , 00:03:46 , 5OVYDbQP9pMKpF0ViSyMty , USLD91726779
Myke Towers; Yandel , Mayor , Mayor , 00:02:11 , 1OW47kPsWJfvhcQ7V7XwhC , QM6N22087217
Tempo; Nicky Jam , Masoquista , Masoquista , 00:03:09 , 5vvBs55tKriAoArPaqoIhA , QM6N22031603
Farruko; Beéle; Natti Natasha; Manuel Turizo , Loco - Remix , Loco (Remix) , 00:04:08 , 6nGM44ZP7vSo0istUW2MOq , QZ7B82000014
Tito "El Bambino"; Farruko , Se Va , Se Va , 00:03:19 , 2FJhGgWXvNyriFYnVPFIff , QM4TW2087127
J Trons & Derek; Sonny & Vaech; Altafulla , Amor de Discoteca , Amor de Discoteca , 00:04:10 , 7G8fULLBxKSxpnYTdnUI4v , QMGR32079748
Myke Towers , Michael Myers , Michael Myers , 00:04:11 , 4R2fJxDWJ0HHjSgTmebdIt , QM6N22069115
Prince Royce; Myke Towers , Carita de Inocente (feat. Myke Towers) - Remix , Carita de Inocente (feat. Myke Towers) [Remix] , 00:03:12 , 5kQre7o8ky5DXeEPcyaCR1 , USSD12000153
Anuel AA , Tocándote , Emmanuel , 00:03:50 , 2L6YJ2mSyqStxQX4OjUOon , QM6N22075928
Anuel AA , El Problema , Emmanuel , 00:03:28 , 6cyH3OGfKQBevSYxJFIUCx , QM4TX2084414
Anuel AA; Bad Bunny , Así Soy Yo , Emmanuel , 00:03:46 , 6NfC2FKfsfzuLIF4lThw0A , QM6N22028167
Anuel AA; Farruko; Zion , Que Se Joda , Emmanuel , 00:03:46 , 5p3JJehpKHjr9pJT5eD2Lz , QM4TX2084349
Anuel AA; Enrique Iglesias , Fútbol & Rumba (feat. Enrique Iglesias) , Emmanuel , 00:03:41 , 2hDe0Ls5mVqs1XJqv7sbcM , QM4TX2084354
Anuel AA; Bad Bunny , Hasta Que Dios Diga , Emmanuel , 00:04:06 , 06s3QtMJVXw1AJX3UfvZG1 , QM4TX2084345
Anuel AA; Tego Calderon , Jangueo , Emmanuel , 00:03:51 , 7KKh0ujp8agIiCrkiJhf81 , QM6N22075486
Anuel AA , Reggaetonera , Emmanuel , 00:03:32 , 6yVkakCN460KOVol9ZazjH , QM6N22075450
Daði Freyr , Think About Things , Söngvakeppnin 2020 , 00:02:53 , 5crhbtfcOWIfN5NbkqQRql , ISV442002312
Gigolo Y La Exce , SSS , SSS , 00:03:46 , 0inQmmTGaIxsd9BMbUnpbu , QM6N22022790
Nio Garcia; Casper Magico , Bandida , Bandida , 00:03:29 , 1AE6oof5lpNfIZ05vW2k3m , QM6MZ2084589
Mora; Farruko , No Digas Nada , No Digas Nada , 00:03:00 , 6gB5c3HJIoc54dUgLCCQhp , QM6MZ2092708
Cauty; Brray , Tranquilito , Tranquilito , 00:03:06 , 4aiVm2z0dQeCjJfFGvJfrX , QZHZ32021206
Bad Bunny , SI ELLA SALE , LAS QUE NO IBAN A SALIR , 00:02:23 , 1zaDh3qaGSeSmulNyWlUxm , QM6N22011402
D.OZi; Alex Rose , Se Revelo , Se Revelo , 00:03:30 , 3uyqotbTAcTQKaziLCsj67 , QM6MZ2084803
Alex Rose; Yanzee , Toque De Queda , Toque De Queda , 00:03:37 , 3A9wFverhY3Fyp2vOp9fIY , USA2P2018459
Bad Bunny; Gabriela , EN CASITA , LAS QUE NO IBAN A SALIR , 00:02:56 , 2DhNdoHxavs7Qtf5MnhZD0 , QM6N22010814
Jhay Cortez; Bad Bunny , CÓMO SE SIENTE - Remix , LAS QUE NO IBAN A SALIR , 00:03:47 , 6KFjMJJq8UZpfUyDgeH0Yl , USUM72010288
Bad Bunny , BENDICIONES , LAS QUE NO IBAN A SALIR , 00:02:35 , 2CoMYp2uIKsT09nreEZnZn , QM6N22010811
Bad Bunny; Nicky Jam , BAD CON NICKY , LAS QUE NO IBAN A SALIR , 00:03:22 , 5bmSver2b3ZXyuyLKtgnFI , QM6N22010810
Yandel; Bad Bunny , CANCIÓN CON YANDEL , LAS QUE NO IBAN A SALIR , 00:03:29 , 3pm4XtcsRIFFtH2UErk62R , QM6N22010808
Bad Bunny , BYE ME FUI , LAS QUE NO IBAN A SALIR , 00:02:58 , 0FktnzDqjClqU6iqOZVEs2 , QM6N22010807
Bad Bunny; Zion & Lennox , MÁS DE UNA CITA , LAS QUE NO IBAN A SALIR , 00:03:03 , 4EJHKSnHENfjOxXWryyNtL , QM6N22010806
Andy Rivera , La Oficial , La Oficial , 00:03:08 , 3o0Ue4lVZ549Ro12URAJfX , COSO12000135
Ernesto de Curtis; Luciano Pavarotti; National Philharmonic Orchestra; Giancarlo Chiaramello , Torna a Surriento (Arr. Chiaramello) , Pavarotti Forever , 00:04:23 , 4JWcaAbcmH7XysD6iKmrQx , GBF077900320
DJ Nelson; Nio Garcia; Jay Wheeler; Darell; Brytiago; De La Ghetto , Una Mujer Remix , Una Mujer Remix (feat. Darell, Brytiago & De La Ghetto) , 00:05:49 , 20mVafAv3PlquV0e2JSjER , USDXS2004094
George; Jordan; Anuel AA , NBA , NBA , 00:03:13 , 1djCYIQKARsfYg9HMotRSE , MX2832018204
Sech , Casino , Casino , 00:03:01 , 4pYmyZqoVRcVoQ5QfyyO7S , QM9WM2000014
Manuel Turizo , Quiéreme Mientras Se Pueda , Quiéreme Mientras Se Pueda , 00:03:11 , 34LI7rwi9H8w2S5KTHnv1M , QZDYA1800021
Brytiago; Dalex; Lenny Tavárez , Te Falle - Remix , Te Falle (Remix) , 00:04:34 , 0WfoXzTTleO9bHtuQIn5EY , QZHN22000043
Gigolo Y La Exce; Bad Bunny , Sexto Sentido (feat. Bad Bunny) , Sexto Sentido (feat. Bad Bunny) , 00:03:47 , 1XDBrOUa5swy7lhO06mggm , QZ5FN1721308
Owl City , Fireflies , Ocean Eyes , 00:03:48 , 3DamFFqW32WihKkTVlwTYQ , USUM70972068
Jay Sean; Lil Wayne , Down , All Or Nothing , 00:03:32 , 7LP4Es66zdY7CyjepqmvAg , USCM50900094
Black Eyed Peas , I Gotta Feeling , THE E.N.D. (THE ENERGY NEVER DIES) , 00:04:49 , 4vp2J1l5RD4gMZwGFLfRAu , USUM70965169
Sech , Goteras , A Side , 00:02:52 , 5382duzcMjs0UUAyHOTCne , QM9WM2000018
Sech , Trofeo , A Side , 00:03:26 , 6beHXSNNAPKhtlXvefJC7s , QM9WM2000017
Rauw Alejandro; Myke Towers; Sky Rompiendo , Ponte Pa' Mi , Ponte Pa' Mi , 00:03:04 , 10u2iOS0r6plfb9GknD7g4 , QZHN22000006
Maxiolly; Jory Boy , Hermosa , Hermosa , 00:03:29 , 30WKJe12nIqgGrM8qaGd3D , ESA012038510
Dalex , +Linda , +Linda , 00:02:41 , 5cBrOhKDyiJF9bPGUHKkG0 , QM9WM2000019
Dímelo Flow; Arcangel; Chencho Corleone; Wisin & Yandel; Myke Towers , Pirueta , Pirueta , 00:04:35 , 2qtSblErXSxcloVCE1feG7 , USA2P2015596
Sech; Justin Quiles; Maluma; Nicky Jam; Farruko; Dalex; Lenny Tavárez , Que Mas Pues - Remix , Sueños , 00:05:05 , 7fODjB7BrQTGqh0hogW6XD , QM9WM1900123
Farruko , Nadie , Gangalee , 00:03:48 , 0REjFxlMJRQxPqWSdmXiAT , USSD11800412
Manuel Turizo; Sech , Bailemos , ADN , 00:03:26 , 1ScD7XQYCKmJ3fdNh71lUE , QZDYA1800008
Dalex; Nicky Jam; Justin Quiles; Sech; Lenny Tavárez; Feid; Rafa Pabön , Cuaderno , Climaxxx , 00:04:46 , 7anSoGdgtmJTAPZBzcPhO6 , QM9WM1900130
Feid; Manuel Turizo , BORRAXXA , BORRAXXA , 00:03:43 , 2Y1EBfErprYwOlgluV9neb , USUM72001342
Casper Magico; Anuel AA , Sola & Vacía , Sola & Vacía , 00:03:02 , 46V4kseB66GjFGklCgynGX , QM6MZ2011331
Rauw Alejandro; Chencho Corleone; KEVVO; Bryant Myers; Lyanno; Dalex , El Efecto - Remix , El Efecto (Remix) , 00:04:49 , 74j34STf8L6uADnTN69ohv , QMBZ91995668
Feid; Justin Quiles , PORFA , PORFA , 00:03:53 , 3iQOfefMGDVDwo8dZoco8T , USUM71924087
Rihanna; JAY-Z , Umbrella , Good Girl Gone Bad: Reloaded , 00:04:35 , 49FYlytm3dAAraYgpoJZux , USUM70736771
Chris Wandell; Lyanno; R.K.M & Ken-Y; Ken-Y , Ultima Vez - Remix , Ultima Vez Remix , 00:04:08 , 5Au35wPIP4PpIGKbSSxc9o , QM4TX2082810
